,File,Judges
0,2009_08295.htm.txt,
1,2009_08296.htm.txt,
2,2009_08297.htm.txt,
3,2009_08298.htm.txt,
4,2009_08311.htm.txt,
5,2009_08312.htm.txt,
6,2009_08313.htm.txt,
7,2009_08314.htm.txt,
8,2009_08315.htm.txt,
9,2009_08316.htm.txt,
10,2009_08317.htm.txt,
11,2009_08329.htm.txt,
12,2009_08330.htm.txt,
13,2009_08331.htm.txt,
14,2009_08332.htm.txt,
15,2009_08333.htm.txt,
16,2009_08334.htm.txt,
17,2009_08338.htm.txt,
18,2009_08339.htm.txt,
19,2009_08340.htm.txt,
20,2009_08341.htm.txt,
21,2009_08342.htm.txt,
22,2009_08343.htm.txt,
23,2009_08344.htm.txt,
24,2009_08345.htm.txt,
25,2009_08346.htm.txt,
26,2009_08347.htm.txt,
27,2009_08354.htm.txt,
28,2009_08355.htm.txt,
29,2009_08356.htm.txt,
30,2009_08357.htm.txt,
31,2009_08358.htm.txt,
32,2009_08359.htm.txt,
33,2009_08360.htm.txt,
34,2009_08361.htm.txt,
35,2009_08362.htm.txt,
36,2009_08370.htm.txt,
37,2009_08371.htm.txt,
38,2009_08372.htm.txt,
39,2009_08382.htm.txt,
40,2009_08383.htm.txt,
41,2009_08384.htm.txt,
42,2009_08385.htm.txt,
43,2009_08386.htm.txt,
44,2009_08387.htm.txt,
45,2009_08394.htm.txt,
46,2009_08395.htm.txt,
47,2009_08396.htm.txt,
48,2009_08397.htm.txt,
49,2009_08398.htm.txt,
50,2009_08399.htm.txt,
51,2009_08400.htm.txt,
52,2009_08401.htm.txt,
53,2009_08402.htm.txt,
54,2009_08410.htm.txt,
55,2009_08411.htm.txt,
56,2009_08412.htm.txt,
57,2009_08413.htm.txt,
58,2009_08414.htm.txt,
59,2009_08415.htm.txt,
60,2009_08421.htm.txt,
61,2009_08422.htm.txt,
62,2009_08431.htm.txt,
63,2009_08432.htm.txt,
64,2009_08433.htm.txt,
65,2009_08434.htm.txt,
66,2009_08435.htm.txt,
67,2009_08436.htm.txt,
68,2009_08437.htm.txt,
69,2009_08438.htm.txt,
70,2009_08440.htm.txt,
71,2009_08441.htm.txt,
72,2009_08442.htm.txt,
73,2009_08444.htm.txt,
74,2009_08446.htm.txt,
75,2009_08447.htm.txt,
76,2009_08449.htm.txt,
77,2009_08450.htm.txt,
78,2009_08452.htm.txt,
79,2009_08455.htm.txt,
80,2009_08456.htm.txt,
81,2009_08457.htm.txt,
82,2009_08459.htm.txt,
83,2009_08462.htm.txt,
84,2009_08465.htm.txt,
85,2009_08479.htm.txt,
86,2009_08480.htm.txt,
87,2009_08485.htm.txt,
88,2009_08487.htm.txt,
89,2009_08488.htm.txt,
90,2009_08490.htm.txt,
91,2009_08495.htm.txt,
92,2009_08498.htm.txt,
93,2009_08502.htm.txt,
94,2009_08503.htm.txt,
95,2009_08504.htm.txt,
96,2009_08506.htm.txt,
97,2009_08513.htm.txt,
98,2009_08515.htm.txt,"Mercure, J.P., Lahtinen, Kane, Stein and McCarthy, JJ., concur. Ordered that the judgment is affirm..."
99,2009_08516.htm.txt,"Cardona, P.J., Mercure, Spain and Kavanagh, JJ., concur. Ordered that the judgment and order are af"
100,2009_08517.htm.txt,"Defendant's remaining contentions, that he was entitled to separate trials and that County Court's ..."
101,2009_08518.htm.txt,"Mercure, J.P., Lahtinen, Kane and Garry, JJ., concur. Ordered that the judgment is af"
102,2009_08519.htm.txt,Defendant urges this Court to remit the matter to County Court for resentencing to include her part...
103,2009_08520.htm.txt,"Peters, J.P., Rose, Lahtinen and Malone Jr., JJ., concur. Ordered that the judgment is affirmed, an..."
104,2009_08521.htm.txt,"Cardona, P.J., Spain, Rose, Kane and McCarthy, JJ., concur. Ordered that the judgment is affirmed, ..."
105,2009_08522.htm.txt,"Mercure, J.P., Lahtinen, Kane, Kavanagh and McCarthy, JJ., concur. Ordered that the judgment is af"
106,2009_08523.htm.txt,"Peters, J.P., Kane, Malone Jr., McCarthy and Garry, JJ., concur. Ordered that the judgment is affir..."
107,2009_08524.htm.txt,"Defendant's sole contention is that the sentence is harsh and excessive. Upon reviewing the record,..."
108,2009_08525.htm.txt,"Mercure, J.P., Lahtinen, Malone Jr. and Garry, JJ., concur. Ordered that the order is reversed, on ..."
109,2009_08594.htm.txt,"Accordingly, the County Court, after considering the mitigating factors advanced by the defendant, ..."
110,2009_08595.htm.txt,The defendant failed to demonstrate by clear and convincing evidence that there existed a mitigatin...
111,2009_08631.htm.txt,"In light of our determination, the People's remaining contention has been rendered academic. Dillon..."
112,2009_08632.htm.txt,We reject as without merit the defendant's argument that the complainant's grandmother should have ...
113,2009_08633.htm.txt,The period of postrelease supervision imposed on the resentence was not excessive (see People v Sui...
114,2009_08634.htm.txt,"The sentence imposed was not excessive (see People v Suitte, 90 AD2d 80 [1982]). Prudenti, P.J., Sk..."
115,2009_08635.htm.txt,"The County Court properly denied, without a hearing, the defendant's motion to set aside the verdic..."
116,2009_08636.htm.txt,"The defendant's remaining contention is unpreserved for appellate review. Skelos, J.P., Miller, Eng..."
117,2009_08637.htm.txt,We have reviewed the record and agree with the defendant's assigned counsel that there are no nonfr...
118,2009_08638.htm.txt,"The defendant's remaining contentions, including those raised in his supplemental pro se brief, are..."
119,2009_08639.htm.txt,We have reviewed the record and agree with the defendant's assigned counsel that there are no nonfr...
120,2009_08640.htm.txt,"Contrary to the defendant's contention, he was not deprived of the effective assistance of counsel...."
121,2009_08641.htm.txt,We have reviewed the record and agree with the defendant's assigned counsel that there are no nonfr...
122,2009_08642.htm.txt,The remaining contentions raised in the brief submitted by the defendant's counsel are without meri...
123,2009_08643.htm.txt,"Since, as the People correctly concede, the defendant did not receive the effective assistance of c..."
124,2009_08647.htm.txt,
125,2009_08648.htm.txt,"Hurlbutt, J.P., Centra, Fahey and Gorski, JJ."
126,2009_08653.htm.txt,
127,2009_08654.htm.txt,
128,2009_08656.htm.txt,
129,2009_08657.htm.txt,
130,2009_08658.htm.txt,
